N,P,K,temperature,humidity,pH,rainfall,label,Plant_Category,EC (mS/cm) Range,Ca (ppm) Range,Mg (ppm) Range,Na (ppm) Range (Max)
82,45,37,19.5557,65.6667,6.6484,11.2016,Pimpinella anisum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
25,16,16,11.4369,72.8451,6.4334,77.0422,Citrus limon ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
116,34,127,19.6485,75.1632,7.1244,66.0667,Beta vulgaris var. conditiva ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
2,51,104,23.0471,62.7174,6.6273,58.5649,Pisum sativum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
41,53,107,31.7373,74.6877,6.1357,156.7586,Curcuma longa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
17,60,109,17.7937,65.6341,7.7077,10.2259,Vicia faba ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
155,42,62,28.2927,47.5681,7.9517,23.7351,Sorghum bicolor ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
41,28,41,13.314,57.938,7.3982,31.6363,Pimpinella anisum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
5,6,20,21.5139,59.472,6.4702,58.8741,Citrus aurantium ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
35,55,22,29.1676,78.0823,6.6962,68.042,Carica papaya ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
100,53,119,26.8398,69.1363,7.3936,102.8639,Cucurbita moschata ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
91,37,45,25.8945,82.0992,6.1929,143.0633,Cucumis melo ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
134,37,65,26.8367,79.6361,5.1392,74.6535,Citrullus lanatus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
22,3,13,18.161,63.8715,6.8425,118.3259,Citrus aurantium ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
57,41,41,26.8838,82.4723,6.3277,71.0924,Carica papaya ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
105,21,16,28.0713,69.6518,7.1245,75.0629,Oryza sativa ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
19,16,0,21.3815,68.226,6.9869,75.5987,Citrus reticulata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
28,24,25,11.223,73.6813,7.2967,132.626,Diospyros kaki ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
0,0,23,27.8384,17.0412,9.3032,28.6384,Ziziphus spina-christi ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
108,57,106,27.1181,77.4411,6.9705,78.0605,Apium graveolens ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
119,70,112,14.374,81.2619,7.027,83.5156,Fragaria × ananassa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
96,37,106,21.0709,79.0678,6.181,51.7347,Zingiber officinale ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
127,58,79,30.4431,64.0893,8.5411,24.3309,Zea mays ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
36,20,18,17.8081,68.2379,6.1834,49.165,Rosa gallica ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
120,69,116,27.5886,84.1677,6.0433,35.8075,Musa acuminata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
159,50,148,25.0443,84.6786,6.9548,104.8553,Cucumis sativus ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
62,28,28,19.0583,63.5333,5.3789,65.3787,Melissa officinalis ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
80,31,47,15.1202,55.9012,7.3404,35.1493,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
61,43,115,31.7227,81.4602,7.1481,75.7549,Curcuma longa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
94,17,25,29.6661,57.5757,6.0987,38.461,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
26,5,23,23.1443,54.4266,6.6414,2.6133,Rosmarinus officinalis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
51,54,85,14.3085,65.1535,7.1487,35.8713,Allium sativum ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
33,21,16,23.0302,77.969,6.8675,100.2028,Prunus domestica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
106,43,65,23.0245,72.6164,5.857,142.0865,Curcuma longa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
92,24,33,21.4158,83.1077,5.6875,66.6948,Cucumis melo var. cantalupensis ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
41,11,25,14.0197,70.0929,6.7386,32.642,Rosa gallica ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
93,52,52,26.5344,59.0112,7.7083,13.5834,Pennisetum glaucum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
8,14,0,14.9816,68.9462,7.2749,75.0181,Citrus reticulata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
62,41,54,14.6632,58.4451,7.4897,15.9601,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
21,47,96,17.6359,63.2859,8.2678,34.5589,Lens culinaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
88,24,44,17.2677,55.532,7.4063,40.5442,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
15,0,0,26.3459,64.9151,7.6042,128.0837,Ficus carica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
58,32,24,15.5886,60.9581,7.5072,19.0621,Nigella sativa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
21,47,67,23.1507,51.6206,7.8598,16.7013,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
42,9,29,19.529,71.7604,7.3399,19.6087,Matricaria chamomilla ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
59,47,59,28.4436,60.342,6.2653,46.3984,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
23,24,46,11.2475,69.169,6.2611,49.7364,Prunus domestica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
114,74,120,27.1542,81.2804,6.4667,98.8369,Musa acuminata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
17,11,37,16.5551,76.7249,5.9781,142.6033,Citrus limon ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
85,11,63,26.2497,72.3178,6.4213,34.3724,Mentha spicata ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
110,51,39,22.5727,56.8741,8.8097,18.4668,Gossypium barbadense ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
30,5,5,11.8713,76.4798,6.788,136.4382,Citrus paradisi ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
44,48,40,14.5504,58.9248,6.5343,16.5077,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
102,47,43,26.5389,47.5036,8.9135,56.31,Sorghum bicolor ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
56,4,46,22.4198,53.5997,6.7774,32.1761,Salvia officinalis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
41,60,70,12.5907,59.9051,7.1663,14.5976,Cicer arietinum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
33,25,20,22.5516,65.8696,7.5418,16.0844,Matricaria chamomilla ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
140,33,48,19.9142,63.3965,7.2221,102.2587,Lactuca sativa ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
59,36,15,21.9173,58.3764,7.6383,24.8704,Nigella sativa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
121,41,66,26.1079,56.2277,7.0394,4.2554,Helianthus annuus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
36,31,25,15.694,67.3686,6.4023,80.515,Prunus domestica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
84,22,111,16.1965,64.8799,7.02,52.1549,Daucus carota ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
78,30,50,26.2037,58.6028,7.0626,77.9981,Ocimum basilicum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
1,28,35,16.7805,68.8749,5.9019,72.6783,Prunus armeniaca ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
100,50,56,19.6882,64.9307,7.9363,55.7912,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
104,41,79,21.8879,72.186,7.0145,66.5855,Cucurbita moschata ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
22,3,46,25.44,61.6076,7.5534,47.9932,Ficus carica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
64,31,42,13.6758,60.8599,7.3906,58.5838,Matricaria chamomilla ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
34,44,78,30.8434,65.8275,6.665,68.9403,Vigna unguiculata ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
90,35,35,20.8466,60.2341,6.8216,73.2226,Mentha spicata ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
55,39,50,15.7307,64.6699,6.8025,28.3293,Pimpinella anisum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
132,48,112,25.2767,72.779,7.6874,49.3664,Capsicum annuum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
108,25,18,32.0891,57.4407,6.2767,95.0583,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
79,49,81,16.9076,66.7806,7.6574,42.6492,Allium sativum ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
35,28,65,14.9221,52.5875,7.7103,29.7592,Raphanus sativus ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
0,21,8,32.9426,54.9637,6.8176,67.1698,Ficus carica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
63,46,56,14.5685,66.0258,6.8628,13.9777,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
86,53,73,28.2403,65.4732,7.2305,31.1829,Helianthus annuus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
107,43,83,24.6408,62.1858,6.8949,65.575,Helianthus annuus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
34,12,5,12.873,65.1625,6.6976,107.5016,Prunus avium ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
109,53,154,30.1554,76.1578,7.1448,101.4897,Cucumis sativus ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
70,48,72,18.084,62.2117,7.2571,29.0609,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
72,22,27,23.5074,45.8517,7.4332,34.2849,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
72,41,57,18.9499,62.371,6.4334,45.8611,Pimpinella anisum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
49,25,53,22.7728,68.0265,7.466,39.6265,Ammi majus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
164,52,149,23.7304,70.964,7.1835,47.2611,Brassica oleracea var. italica ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
165,69,44,27.2852,58.2133,7.6987,118.1215,Zea mays var. everta ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
42,96,56,18.4476,63.4834,8.0772,27.465,Vicia faba ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
92,74,119,24.9469,71.0425,5.2345,95.7532,Ipomoea batatas ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
85,33,72,26.8883,81.0169,6.5036,162.0828,Curcuma longa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
66,40,62,15.8212,67.9221,7.5909,40.3148,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
125,48,66,22.6648,64.0223,6.8688,72.6916,Spinacia oleracea ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
85,34,43,25.2623,41.1126,7.5576,46.5038,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
33,16,24,24.958,58.0767,6.716,110.1237,Ficus carica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
133,26,45,20.5841,58.7345,7.7275,56.1143,Spinacia oleracea ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
62,50,43,18.4851,66.4258,7.2844,18.4306,Ammi majus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
44,66,41,14.3209,59.6866,7.2846,0.0,Trigonella foenum-graecum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
102,32,79,19.3088,83.9535,6.2132,86.7985,Apium graveolens ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
94,69,126,16.7663,72.1697,6.5247,89.7335,Fragaria × ananassa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
38,32,42,19.2028,77.7175,7.1447,55.891,Rosa damascena ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
118,40,91,15.0034,68.2248,6.9555,64.1382,Apium graveolens ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
0,54,16,23.8827,66.8783,6.7028,79.0461,Rosa damascena ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
136,78,142,20.6041,75.7554,7.754,27.8829,Solanum tuberosum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
91,69,88,30.092,75.5623,5.3442,160.0082,Musa acuminata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
107,46,36,25.4087,60.8776,7.4075,10.9543,Pennisetum glaucum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
80,53,118,22.6413,66.0762,7.5018,51.235,Vitis vinifera ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
17,0,8,29.7226,54.5973,7.5848,19.1917,Ficus sycomorus ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
143,44,111,22.7985,68.4973,7.0003,65.0011,Capsicum frutescens ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
54,53,59,17.5859,51.3357,6.9256,66.8266,Linum usitatissimum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
54,36,70,20.1697,67.8256,8.0342,8.2991,Ammi majus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
48,57,81,17.7056,65.3654,6.9362,57.5692,Glycine max ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
78,36,89,24.8015,80.5253,6.2361,101.1212,Curcuma longa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
140,47,122,29.432,65.5467,6.742,40.6978,Capsicum annuum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
131,75,128,23.6188,79.0199,7.8215,132.5997,Capsicum annuum var. grossum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
68,43,77,27.7794,52.8653,6.8302,67.0245,Pelargonium graveolens ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
87,63,103,26.9004,86.8206,6.1774,21.3455,Zingiber officinale ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
88,54,51,15.4842,64.3223,6.7247,59.8067,Petroselinum crispum ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
23,30,40,17.4322,55.1268,7.3413,31.1571,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
15,1,9,16.9675,67.4448,7.3412,107.0871,Citrus sinensis ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
166,56,118,15.4301,71.579,7.2407,64.9381,Brassica oleracea var. botrytis ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
1,8,56,21.0537,46.8393,6.7741,156.5716,Punica granatum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
52,23,39,25.0114,61.9486,7.1779,36.1182,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
89,33,42,20.2823,68.1103,6.5489,15.6594,Ocimum basilicum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
42,18,31,17.6816,68.3132,7.6187,21.3441,Nigella sativa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
177,68,116,35.3011,65.6086,7.0076,140.0309,Saccharum officinarum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
44,31,14,18.4257,72.7938,6.6689,41.4603,Rosa gallica ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
30,26,28,9.4714,74.0881,5.9081,80.8091,Prunus avium ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
22,17,11,26.1721,65.0543,6.8791,34.8157,Prunus armeniaca ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
24,12,12,17.7249,50.4772,6.9892,0.0,Thymus vulgaris ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
45,31,25,17.1959,61.3537,8.006,36.9079,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
50,43,66,12.5355,62.1876,6.705,50.4926,Anethum graveolens ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
34,17,47,29.9955,72.4561,6.8393,64.1292,Jasminum grandiflorum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
108,35,129,23.2548,74.1959,5.4885,163.0842,Zingiber officinale ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
35,41,68,15.6706,55.5867,6.695,40.7344,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
0,0,18,15.3279,67.4813,6.9911,126.5736,Citrus reticulata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
43,49,79,30.1166,79.4366,6.806,78.0423,Carica papaya ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
71,25,43,14.4726,63.5102,5.8069,59.9465,Melissa officinalis ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
19,7,24,36.4025,46.5183,8.8564,0.0,Simmondsia chinensis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
